"","Entry.Name","logFC.limma","AveExpr.limma","t.limma","P.Value.limma","adj.P.Val.limma","B.limma","pval.fdrtool","qval.fdrtool","lfdr.fdrtool","hit_annotation_limma","score","comparison"
"8081","CP009208_CDS_VK055_1437",-0.913479414721941,-0.913479414721941,-11.2425313714903,0.0035485551803577,0.238372878112427,-0.754745553258813,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8082","CP009208_CDS_nagE",-0.766073730445197,-0.766073730445198,-11.2047057316917,0.00357767321425283,0.238372878112427,-0.76283946089494,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8083","CP009208_CDS_VK055_0636",-0.40348201049395,-0.40348201049395,-10.9526943982251,0.00378048295599787,0.242687128328022,-0.817851044056692,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8084","CP009208_CDS_VK055_0734",0.683807954116758,0.683807954116758,10.7725611656014,0.00393544069775383,0.242687128328022,-0.858362479506749,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8085","CP009208_CDS_pckA2",-1.25140587044658,-1.25140587044658,-10.7405117146992,0.00396393899777066,0.242687128328022,-0.865677149562127,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8086","CP009208_CDS_rlmI",1.04873173040232,1.04873173040232,10.7211952614494,0.00398125481026773,0.242687128328022,-0.870101561966836,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8087","CP009208_CDS_thiL",1.11098884455241,1.11098884455241,10.5837739069607,0.00410755383903138,0.245169619767185,-0.901924735216404,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8088","CP009208_CDS_udp",-0.607968981802888,-0.607968981802887,-10.0750976964042,0.00462715364134147,0.261102628576387,-1.0252327771016,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8089","CP009208_CDS_VK055_3955",-0.863392312485399,-0.863392312485399,-10.0740086951426,0.00462836229952892,0.261102628576387,-1.02550644433273,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8090","CP009208_CDS_hisG",-0.271069680485515,-0.271069680485515,-10.056460047778,0.00464790019455349,0.261102628576387,-1.02992232969188,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8091","CP009208_CDS_nfi",0.149650018425077,0.149650018425077,9.97422765230358,0.0047410079861124,0.261211305388693,-1.05076373465409,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
